,Date,Time,Away,Home,Away_Chance,Home_Chance,Away_Odds,Home_Odds,Away_Bet,Away_Winnings,Away_Projected_Winnings,Home_Bet,Home_Winnings,Home_Projected_Winnings,Decision,Bet,Winnings
0,04/18/17,8:10 PM,Angels,Astros,41,59,0,0,100,0,0,100,0,0,None,0,0
1,04/18/17,8:05 PM,Brewers,Cubs,41,59,155,-165,100,255,104,100,160,94,None,0,0
2,04/18/17,10:10 PM,Diamondbacks,Padres,53,47,-125,115,100,180,95,100,215,101,None,0,0
3,04/18/17,8:15 PM,Giants,Royals,48,52,110,-120,100,210,100,100,183,95,None,0,0
4,04/18/17,8:10 PM,Indians,Twins,53,47,-115,105,100,186,98,100,205,96,None,0,0
5,04/18/17,10:10 PM,Marlins,Mariners,46,54,-105,-105,100,195,89,100,195,105,Home,100,105
6,04/18/17,7:35 PM,Nationals,Braves,61,39,-165,155,100,160,97,100,255,99,None,0,0
7,04/18/17,7:10 PM,Orioles,Reds,54,46,-166,156,100,160,86,100,256,117,Home,100,117
8,04/18/17,7:10 PM,Phillies,Mets,37,63,150,-160,100,250,92,100,162,102,None,0,0
9,04/18/17,8:15 PM,Pirates,Cardinals,47,53,125,-135,100,225,105,100,174,92,Away,100,105
10,04/18/17,10:05 PM,Rangers,Athletics,55,45,-120,110,100,183,100,100,210,94,None,0,0
11,04/18/17,7:07 PM,Red Sox,Blue Jays,46,54,140,-150,100,240,110,100,166,89,Away,100,110
12,04/18/17,10:10 PM,Rockies,Dodgers,37,63,152,-162,100,252,93,100,161,101,None,0,0
13,04/18/17,7:10 PM,Tigers,Rays,53,47,102,-112,100,202,107,100,189,88,Away,100,107
14,04/18/17,7:05 PM,White Sox,Yankees,45,55,163,-176,100,263,118,100,156,85,Away,100,118
