,Away,Home,Away_Chance,Home_Chance,Away_Odds,Home_Odds,Away_Bet,Away_Winnings,Away_Projected_Winnings,Home_Bet,Home_Winnings,Home_Projected_Winnings,Decision,Bet,Winnings
0,Angels,Royals,47,53,120,-130,100,220,103,100,176,93,Away,100,103
1,Astros,Athletics,57,43,-123,113,100,181,103,100,213,91,Away,100,103
2,Brewers,Reds,42,58,-101,-109,100,199,83,100,191,110,Home,100,110
3,Cardinals,Yankees,41,59,116,-126,100,216,88,100,179,105,Home,100,105
4,Diamondbacks,Dodgers,35,65,230,-260,100,330,115,100,138,89,Away,100,115
5,Mets,Marlins,55,45,-156,146,100,164,90,100,246,110,Home,100,110
6,Orioles,Blue Jays,43,57,127,-137,100,227,97,100,172,98,None,0,0
7,Padres,Braves,41,59,126,-136,100,226,92,100,173,102,Home,100,102
8,Rangers,Mariners,44,56,128,-138,100,228,100,100,172,96,None,0,0
9,Rays,Red Sox,43,57,115,-125,100,215,92,100,180,102,Home,100,102
10,Rockies,Giants,41,59,128,-138,100,228,93,100,172,101,Home,100,101
11,Tigers,Indians,41,59,140,-150,100,240,98,100,166,97,None,0,0
12,White Sox,Twins,45,55,145,-155,100,245,110,100,164,90,Away,100,110
